id,title,link,content,gold_label
391,پاکستانی طلبا عالمی نیوکلیئر اولمپیاڈ اعزازات,https://jang.com.pk/news/1378483,پاکستانی طلبا بین الاقوامی نیوکلیئر سائنس اولمپیاڈ چاندی کانسی تمغے جیت لیے سلیمان نعمان سبحان کاشف سلور میڈل حاصل کیا۔ ترجمان پاکستان اٹامک انرجی کمیشن احبان اعوان قاسم کانسی تمغے جیتے۔ نیوکلیئر سائنس اولمپیاڈ فلپائن منعقد ہوا طلبا ٹیم تربیت پاکستان اٹامک انرجی کمیشن یونیورسٹی ہوئی۔ واضح کامیاب طلبا تعلق کراچی لاہور راولپنڈی ہے۔,science-technology
76,ملک آج ڈالر قیمت رہی,https://urdu.geo.tv/latest/387502-,کراچی ملکی تبادلہ منڈیوں ڈالر قیمت اضافہ ہوگیا۔ اسٹیٹ بینک آف پاکستان انٹربینک آج کاروبار اختتام ڈالر  روپے  پیسے ہوا۔ انٹربینک گزشتہ روز ڈالر  روپے  پیسے تھا۔ آج انٹربینک ڈالر  پیسے مہنگا ہوا۔ جانب اوپن مارکیٹ ڈالر  پیسے مہنگا ہوکر  روپے  پیسے ہوا۔ گرام سونے بھاؤ  روپے اضافے  روپے ہے۔  انڈیکس   پوائنٹس سطح ٹریڈ دیکھا,business
280,امریکی سینیٹ اسرائیل اسلحے فروخت روکنے متعلق  بل مسترد,https://urdu.geo.tv/latest/387551-,واشنگٹن امریکی سینیٹ اسرائیل غزہ جنگ اسلحے فروخت روکنے متعلق  بل مستردکردیے۔ غیر ملکی میڈیا امریکی سینیٹ غزہ جنگ اسرائیل اسلحہ فروخت روکنے متعلق  قراردادیں کثرت رائے مسترد کردیں۔ امریکی سینیٹ ٹینک کےگولوں فروخت روکنے بل  کےمقابلےمیں  ووٹوں مارٹرگولوں فروخت روکنےکا بل  کےمقابلے  ووٹوں مستردکیاگیا۔ رپورٹ سینیٹ اسرائیل کواسمارٹ بم کٹس فراہمی روکنےکابل  مقابلےمیں  ووٹوں سےمسترد کیا۔ خیال غزہ جنگ اسرائیل اسلحے فروخت روکنے متعلق قرارداد سینیٹر برنی سینڈرز جانب پیش تھی۔ گزشتہ روز امریکا اقوام متحدہ سلامتی کونسل غزہ جنگ بندی قرارداد ویٹو کردیا تھا۔ غزہ جنگ شروع سلامتی کونسل جنگ بندی قرارداد  پیش جاچکی ہے۔ غزہ اوسطاً  بچہ شہید اقوام متحدہ غزہ ہزاروں بچوں قبرستان قرار,international
63,پاکستان سعودی عرب درآمدات کمی ایران انحصار بڑھ,https://urdu.geo.tv/latest/387804-,اسلام آباد رواں مالی سال پاکستان سعودی عرب درآمدات کمی دیکھنے آئی پاکستان ایران درآمدات انحصار بڑھ ہے۔ رپورٹ جولائی اکتوبر سعودی عرب سالانہ بنیاد درآمدات میںفیصد کمی ریکارڈ ایران درآمدات  فیصد اضافہ ہوا۔ حکومتی ذرائع مطا بق اکتوبر سعودی عرب سالانہ بنیاد پردرآمدات میں فیصدکی کمی ہوئی جولائی تااکتوبر  سعودی عرب سالانہ بنیاد درآمدات میں فیصد کمی ریکارڈ گئی۔ جولائی تااکتوبر ایران سالانہ بنیاد درآمدات فیصد اضافہ ہوا اکتوبر ایران سالانہ بنیادپر درآمدات فیصدکااضافہ ہوا۔,business
114,غزہ اسرائیل رہائشی بمباری  فلسطینی شہید,https://urdu.samaa.tv/2087325042,عالمی فوجداری عدالت نیتن یاہو وارنٹ گرفتاری جاری اسرائیلی فوج جنگی جرائم باز آئی۔ غزہ صہیونی فورسزکی جانب رہائشی بمباری نتیجے پانچ فلسطینی شہیدہوگئے۔المواصی پناہ گزین کیمپ بم برسائے گئے۔ ماں بیٹی چار فلسطین شہید ہوئے۔ جانب امریکی سینیٹ نےاسرائیل ہتھیاروں فروخت روکنے قرار دادیں مسترد کردی۔ امریکی سینیٹر برنی سینڈرز نیتن یاہو وارنٹ گرفتاری خیر مقدم کیاترکیہکینیڈا اٹلی فیصلے عمل درآمد عزم اظہار کردیا۔,international
513,ٹی حارث رؤف نام اعزاز مشترکہ کامیاب ترین بالر,https://www.express.pk/story/2733515/haris-rauf-becomes-pakistans-joint-highest-wicket-taker-in-t20is/,دورہ آسٹریلیا لیڈنگ وکٹ ٹیکر حارث رؤف ٹی انٹرنیشنل کرکٹ پاکستان مشترکہ کامیاب ترین بولر گئے۔ سڈنی کھیلے دوسرے ٹی میچ فاسٹ بولر حارث رؤف  اوورز  رنز  شکار کیے کارکردگی وکٹوں تعداد شاداب خان  ہے۔ لیگ اسپنر شاداب خان حارث مشترکہ پاکستان کامیاب ترین بولر ہیں۔ فاسٹ بولر حارث رؤف  شاداب  اننگز  وکٹیں اڑائیں شاہد آفریدی  اننگز  شکار کرکے تیسرے نمبر داماد شاہین آفریدی  اننگز  وکٹیں ہیں۔ پڑھیںآسٹریلیا پاکستان دوسرے ٹی  میچ شکست سیریز نام کرلی حارث آسٹریلیا غیر ملکی بولر بہترین کارکردگی نیا ریکارڈ قائم کردیا سری لنکا نوان کولاسیکیرا  گیلگونگ  رنز  وکٹیں تھیں۔,sports
408,عرفی جاوید نئے لباس مداح حیران ویڈیو انٹرنیٹ وائرل,https://www.express.pk/story/2733236/fans-are-surprised-by-arfi-javeds-new-outfit-the-video-has-gone-viral-on-the-internet/,بھارتی ماڈل اداکار عرفی جاوید نئے انداز مداحوں دل جیت ویڈیو سوشل میڈیا زینت بنی ہے۔ بھارتی ماڈل اداکارہ عرفی جاوید انوکھے فیشن سینس بھارت پڑوسی ممالک مشہور ہیں روز مرہ استعمال چیزوں مختلف انوکھے لباس تیار کروا پہنے وائرل ہوئے۔ مرتبہ عرفی باربی روپ دھار مداحوں جانب بےحد پسند جارہا ہے۔        وائرل نئی ویڈیو دیکھا عرفی سنڈریلا گھریلو لباس پہنا جوکہ غریب لڑکی کپڑوں عرفی گھومتی ڈریس سنڈریلا خوبصورت ڈریس تبدیل ہوجاتا شہزادی سنڈریلا باربی ہیں۔ مداحوں جانب بھارتی ماڈل ٹرانسفارمیشن بےحد پسند جارہا سوشل میڈیا عرفی ناقدین تعریف مجبور ہیں۔ صارفین کہنا آج عرفی حیران کردیا عرفی ہمیشہ انوکھے لباس نظر آئیں مرتبہ دل جیت لیے۔ عرفی جاوید مداحوں کہنا خوبصورت لباس حقیقیت باربی فیشن سینس کمال ہے۔,entertainment
435,غزہ جنگ بندی سلامتی کونسل قرارداد امریکا ویٹو کی,https://jang.com.pk/news/1413234,امریکی محکمۂ خارجہ غزہ جنگ بندی متعلق سلامتی کونسل قرارداد مسلسل چوتھی ویٹو فیصلے دفاع آ گیا۔ غیر ملکی میڈیا رپورٹس امریکی محکمۂ خارجہ فیصلے دفاع مؤقف اختیار قرارداد یرغمالیوں فوری رہائی مطالبہ شامل چاہیے۔ اقوامِ متحدہ امریکا نائب سفیر رابرٹ ووڈ مؤقف اختیار واشنگٹن قرارداد حمایت جنگ بندی یرغمالیوں فوری رہائی مطالبہ شامل ہو۔ غزہ غیر مشروط جنگ بندی حق  مخالفت ووٹ آیا۔ خیال غزہ جنگ بندی متعلق قرارداد سلامتی کونسل  غیر مستقل اراکان جانب پیش تھی غزہ فوری غیر مشروط مستقل جنگ بندی مطالبہ تھا یرغمالیوں رہائی مطالبہ شامل تھا۔ عرب میڈیا رپورٹ غزہ جنگ بندی متعلق سلامتی کونسل قرارداد اقوامِ متحدہ  رکنی سلامتی کونسل ووٹ تھا۔ غزہ غیر مشروط جنگ بندی حق  مخالفت ووٹ آیا امریکا مستقل رکن حیثیت قرارداد مخالفت مسلسل چوتھی قرارداد ویٹو دیا۔ غزہ اسرائیلی جارحیت امریکہ براہ راست ساتھی ہے حماس یاد امریکا  غزہ جنگ بندی قراردادوں ویٹو چکا ہے سلامتی کونسل اراکین جانب امریکا شدید تنقید نشانہ بنایا ہے۔ خیال غزہ جنگ شروع سلامتی کونسل جنگ بندی قرارداد  پیش ہے۔,international
173,سندھ رواں برس اکتوبر  فیصد اضافی ٹیکس وصولیاں,https://jang.com.pk/news/1409367,سندھ ٹیکس کلیکشن اداروں اعداد شمار جاری گئے۔ وزیرِ اعلیٰ سندھ ترجمان کہنا سال اکتوبر گزشتہ اکتوبر مقابلے  فیصد اضافی ٹیکس وصولیاں ہوئیں۔ بتایا گزشتہ سال اکتوبر  ملین روپے ٹیکس کلیکشن رواں برس اکتوبر  ملین روپے ٹیکس کلیکشن گئی۔ کراچی سندھ ریونیو بورڈ  ابتدائی ماہ کے ترجمان بتایا مجموعی ء  ملین روپے ٹیکس وصولیاں گئیں۔ کہنا سال مجموعی ٹیکس وصولیوں  فیصد اضافہ ہے۔ ترجمان تاثر غلط سندھ ریونیو بورڈ ٹیکس اہداف حاصل کیے۔,business
70,اپٹما حکومت ایم ایف کےساتھ گیس بندش دوبارہ گفت شنید مطالبہ,https://www.dawnnews.tv/news/1246498/,آل پاکستان ٹیکسٹائل ملز ایسوسی ایشن اپٹما حکومت مطالبہ عالمی مالیاتی فنڈ آئی ایم ایف آئندہ سال جنوری ٹیکسٹائل سیکٹر کیپٹیو پاور پلانٹس گیس سپلائی حوالے وعدے دوبارہ بات کرے۔ ایسوسی ایشن بات زور سہولت برقرار انڈسٹری کھوئی پیداوار بحال برآمدات بڑھانے ہے۔ ڈان اخبار کیخبرکے چیئرمین کامران ارشد قیادت اپٹما وفد دیگر مطالبات مطالبہ وزیر تجارت جام کمال ملاقات کیا۔ وفد وفاقی وزیر ٹیکسٹائل ایکسپورٹرز تحفظات آگاہ زور شعبے درپیش مسائل حل کردار ادا کریں۔ کامران ارشد زور گیس بلاتعطل رسائی ٹیکسٹائل سیکٹر برآمدات بحالی توسیع جدوجہد گا۔ ٹیکسٹائل ملبوسات صنعت درپیش مختلف چیلنجز روشنی ڈالی صنعتی کیپٹیو پاور پلانٹس گیس سپلائی ممکنہ منقطع ہونا بجلی ٹیرف ٹیکسوں اضافہ لیکویڈیٹی کمی شامل ہیں۔ کہنا مسائل صنعت مسابقت نقصان پہنچا برآمدات نمو روک ہیں۔ اپٹما نمائندوں  فنانس ایکٹ متعارف کرائی ایکسپورٹ فیسیلیٹیشن اسکیم ای ایف ایس تحت مقامی پروکیورمنٹ سیلز ٹیکس چھوٹ واپس لینے معاملہ اٹھایا۔ پٹس درآمدات ٹیکس مستثنیٰ ہیں مقامی حاصل کردہ مواد  فیصد سیلز ٹیکس عائد ہے۔ فاسٹر سسٹم ٹیکس ریفنڈز تاخیر برآمد کنندگان دباؤ ہے سامان درآمد مجبور ممکنہ مقامی سپلائی چین غیر مستحکم ہے۔ سرکاری اعلان وزیر تجارت اپٹما وفد ٹیکسٹائل ملبوسات شعبے حمایت حکومت عزم یقین دلایا۔ معیشت سماجی اقتصادی ترقی شعبے اہمیت تسلیم بات زور حکومت شعبے پائیداری ترقی یقینی بنانے مکمل تعاون فراہم گی۔ کہنا ٹیکسٹائل ملبوسات صنعت تسلیم شدہ شعبہ حکومت پائیداری ترقی تعاون فراہم گی۔ وفاقی وزیر مشترکہ کوششوں معاون پالیسیوں ٹیکسٹائل ملبوسات برآمدات اضافے حوالے امید ظاہر کی۔ جام کمال صنعت حوصلہ افزائی موجودہ مارکیٹوں توجہ مرکوز نئی تلاش کریں ویلیو ایڈڈ تیار شدہ مصنوعات جائیں۔ انہں وفد یقین دلایا میں مسائل حل تلاش حکام ذاتی مشغول گا۔,business
